fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
33005,28335,20288,16737,15577,19277,21280,15240,8223,4123
33007,11058,6189,6529,7251,8460,9661,7326,4174,2113
33009,30622,25116,20282,17494,21589,24920,17872,9963,5092
33011,170836,86612,97501,95328,113890,106229,70398,38271,17972
33013,56525,32742,30219,31680,39002,40096,26802,14171,8059
33015,117749,56754,62938,66614,86926,83603,54559,29103,12771
33017,48242,39695,28782,27997,31645,31032,21566,12572,5068
33019,17874,8675,9191,10091,12104,13273,9807,5051,2209
34001,118570,63264,62466,61437,72486,72111,51263,28738,12714
34003,420668,207333,223804,245817,269686,259540,186387,111638,57639
34005,179861,93131,98088,98729,117109,109843,77756,45906,21295
34007,234499,114424,133961,122794,132114,129115,89569,50427,26223
34009,36727,22206,19434,18848,24468,29038,24547,14153,6307
34011,72257,33344,41698,38698,37808,35938,26517,14556,7073
34013,384149,193259,211437,214716,216686,198532,135131,77824,38419
34015,124491,62023,64850,66928,75738,71732,49812,26526,13163
34017,275166,146744,242097,188510,159653,144740,99051,57407,25368
34019,48914,24862,20580,25275,37516,36055,23588,12276,5830
34021,159812,95954,90068,91025,96810,92262,62130,36433,18374
34023,349131,180501,211041,206168,207611,197294,134547,77043,38267
34025,273201,135058,131497,142823,181530,174174,118541,65140,34103
34027,206083,98262,101423,112666,139154,124720,87801,49124,25479
34029,252751,112088,119370,115532,134178,143422,127365,77963,40566
34031,245086,125390,134050,127302,135052,125562,87802,49708,24573
34033,26630,13250,13470,13690,15857,16625,12002,7073,3568
34035,140568,62940,67921,78812,91887,81449,53502,30298,15683
34037,58580,29742,27320,31733,42293,41132,27184,13371,6210
34039,262234,126317,140331,145850,153531,139970,93957,54387,28269
34041,44120,22742,21967,23687,30669,28752,20292,10807,5851
35001,302179,157381,189166,159791,163093,169203,119256,65757,28995
35003,1290,392,453,560,893,1525,1558,438,356
35005,34929,17012,16728,14654,15374,16144,11928,7054,3385
35006,12511,6235,7124,6021,6316,7129,5016,2789,1200
35007,5609,3196,3041,2792,3283,4384,3734,2235,803
35009,26613,14848,15697,11559,10595,10996,7820,4426,2205
35011,717,413,347,482,500,808,508,255,167
